Sample Name,Host Genome,Sample Type,Nucleotide Type,Collection Date,Collection Location,Known Organism,Water Control,Host Sex,Age at infection (days),RNA Extraction Time Post Exposure (days),Temperature Treatment (C),Diseases and Conditions,Infection Class,Treatment code
SRR11715782,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,32,Chikungunya,Denfinite,Ch.32.7
SRR11715783,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,32,Chikungunya,Denfinite,Ch.32.7
SRR11715784,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,18,Chikungunya,Denfinite,Ch.18.7
SRR11715785,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,18,Chikungunya,Denfinite,Ch.18.7
SRR11715786,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,18,Chikungunya,Denfinite,Ch.18.7
SRR11715787,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,18,Chikungunya,Denfinite,Ch.18.7
SRR11715788,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,3,18,Chikungunya,Denfinite,Ch.18.3
SRR11715789,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,18,Chikungunya,Denfinite,Ch.18.7
SRR11715790,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,18,Chikungunya,Denfinite,Ch.18.7
SRR11715791,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,3,28,Chikungunya,Denfinite,Ch.28.3
SRR11715792,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,3,28,Chikungunya,Denfinite,Ch.28.3
SRR11715793,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,3,28,Chikungunya,Denfinite,Ch.28.3
SRR11715794,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,3,28,Chikungunya,Denfinite,Ch.28.3
SRR11715795,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,3,28,Chikungunya,Denfinite,Ch.28.3
SRR11715796,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,3,28,Chikungunya,Denfinite,Ch.28.3
SRR11715797,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,3,32,Chikungunya,Denfinite,Ch.32.3
