Sample Name,Host Genome,Sample Type,Nucleotide Type,Collection Date,Collection Location,Known Organism,Water Control,Host Sex,Age at infection (days),Biosample,temperature,Diseases and Conditions,Infection Class,Time
SRR12515979,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,132,35,Zika,Definite,
SRR12515980,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,131,35,Zika,Definite,
SRR12515981,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,14,25,Zika,Definite,
SRR12515982,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,130,35,Zika,Definite,
SRR12515983,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,129,35,Zika,Definite,
SRR12515984,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,128,35,Zika,Definite,
SRR12515985,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,127,35,Zika,Definite,
SRR12515986,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,126,35,Zika,Definite,
SRR12515987,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,125,35,Zika,Definite,
SRR12515988,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,124,35,Zika,Definite,
