Sample Name,Host Genome,Sample Type,Nucleotide Type,Collection Date,Collection Location,Known Organism,Water Control,Host Sex,Age at infection (days),Biosample,temperature,Diseases and Conditions,Infection Class,Time
SRR12515847,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,89,32,Zika,Definite,
SRR12515848,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,88,32,Zika,Definite,
SRR12515849,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,87,32,Zika,Definite,
SRR12515850,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,86,32,Zika,Definite,
SRR12515851,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,85,32,Zika,Definite,
SRR12515852,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,84,32,Zika,Definite,
SRR12515853,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,83,32,Zika,Definite,
SRR12515854,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,82,32,Zika,Definite,
SRR12515855,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,81,32,Zika,Definite,
SRR12515856,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,9,25,Zika,Definite,
SRR12515857,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,80,32,Zika,Definite,
SRR12515858,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,79,32,Zika,Definite,
SRR12515859,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,78,32,Zika,Definite,
SRR12515860,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,77,32,Zika,Definite,
SRR12515861,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,76,32,Zika,Definite,
SRR12515862,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,75,32,Zika,Definite,
SRR12515863,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,74,32,Zika,Definite,
SRR12515864,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,73,32,Zika,Definite,
SRR12515865,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,72,32,Zika,Definite,
SRR12515866,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,71,32,Zika,Definite,
SRR12515867,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,8,25,Zika,Definite,
SRR12515868,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,70,32,Zika,Definite,
SRR12515869,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,69,28,Zika,Definite,
SRR12515870,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,68,28,Zika,Definite,
SRR12515871,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,67,28,Zika,Definite,
SRR12515872,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,66,28,Zika,Definite,
SRR12515873,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,65,28,Zika,Definite,
SRR12515874,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,64,28,Zika,Definite,
SRR12515875,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,63,28,Zika,Definite,
SRR12515876,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,62,28,Zika,Definite,
SRR12515877,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,61,28,Zika,Definite,
SRR12515878,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,7,25,Zika,Definite,
SRR12515879,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,60,28,Zika,Definite,
SRR12515880,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,59,28,Zika,Definite,
SRR12515881,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,58,28,Zika,Definite,
SRR12515882,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,57,28,Zika,Definite,
SRR12515883,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,56,28,Zika,Definite,
SRR12515884,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,55,28,Zika,Definite,
SRR12515885,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,54,28,Zika,Definite,
SRR12515886,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,53,28,Zika,Definite,
SRR12515887,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,52,28,Zika,Definite,
SRR12515888,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,51,28,Zika,Definite,
SRR12515889,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,6,25,Zika,Definite,
SRR12515890,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,50,28,Zika,Definite,
SRR12515891,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,49,28,Zika,Definite,
SRR12515892,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,48,28,Zika,Definite,
SRR12515893,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,47,28,Zika,Definite,
SRR12515894,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,46,28,Zika,Definite,
SRR12515895,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,45,28,Zika,Definite,
SRR12515896,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,44,28,Zika,Definite,
SRR12515897,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,43,28,Zika,Definite,
SRR12515898,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,42,28,Zika,Definite,
SRR12515899,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,41,28,Zika,Definite,
SRR12515900,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,5,25,Zika,Definite,
SRR12515901,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,40,28,Zika,Definite,
SRR12515902,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,39,28,Zika,Definite,
SRR12515903,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,38,28,Zika,Definite,
SRR12515904,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,37,28,Zika,Definite,
SRR12515905,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,36,28,Zika,Definite,
SRR12515906,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,35,28,Zika,Definite,
SRR12515907,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,34,28,Zika,Definite,
SRR12515908,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,33,28,Zika,Definite,
SRR12515909,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,32,25,Zika,Definite,
SRR12515910,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,31,25,Zika,Definite,
SRR12515911,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,4,25,Zika,Definite,
SRR12515912,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,30,25,Zika,Definite,
SRR12515913,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,29,25,Zika,Definite,
SRR12515914,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,28,25,Zika,Definite,
SRR12515915,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,27,25,Zika,Definite,
SRR12515916,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,26,25,Zika,Definite,
SRR12515917,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,25,25,Zika,Definite,
SRR12515918,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,24,25,Zika,Definite,
SRR12515919,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,23,25,Zika,Definite,
SRR12515920,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,22,25,Zika,Definite,
SRR12515921,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,21,25,Zika,Definite,
SRR12515922,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,3,25,Zika,Definite,
SRR12515923,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,20,25,Zika,Definite,
SRR12515924,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,182,25-35,Zika,Definite,
SRR12515925,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,181,25-35,Zika,Definite,
SRR12515926,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,19,25,Zika,Definite,
